角色,种族,发色,发型,瞳色,性格1,性格2,身材,足着,出场作品1,出场作品2,
博丽 灵梦,人类,棕黑色,长直,黑色,慵懒,贪欲,少女,乐福鞋/玛丽珍鞋,《东方红魔乡》,《东方妖妖梦》,
雾雨 魔理沙,人类,黄色,长卷,黄色,正直,争强好胜,少女,乐福鞋/玛丽珍鞋,《东方红魔乡》,《东方妖妖梦》,
古明地 恋,妖怪,灰绿色,短卷,绿色,空洞,难以交流,少女,黑色短靴,《东方地灵殿》,《东方凭依华》,
芙兰朵露 斯卡雷特,吸血鬼,黄色,短卷,红色,精神不稳,难以交流,幼小,棕玛丽珍鞋,《东方红魔乡》,《东方刚欲异闻》,
十六夜 咲夜,人类,银灰色,短直,蓝色/红色,潇洒从容,镇定自若,成熟,棕色短靴,《东方红魔乡》,《东方妖妖梦》,
蕾米莉亚 斯卡雷特,吸血鬼,灰蓝色,短卷,红色,幼稚任性,高贵傲慢,幼小,船鞋,《东方红魔乡》,《东方萃梦想》,
魂魄 妖梦,半人半灵,白色,短直,青绿色,率真,天然,少女,黑玛丽珍鞋,《东方红魔乡》,《东方萃梦想》,
古明地 觉,妖怪,粉色,短直,紫色,和蔼,偏内向,少女,拖鞋,《东方地灵殿》,《东方智灵奇传》,
琪露诺,妖精,蓝色,短直,蓝色,笨蛋,天真,幼小,裸足,《东方红魔乡》,《东方妖妖梦》,
藤原 妹红,人类,白色,长直,红色,善良,执着,少女,船鞋,《东方永夜抄》,《东方深秘录》,
射命丸 文,妖怪,黑色,短直,红色,聪慧敏锐,谨慎,少女,一齿高木屐,《东方花映冢》,《东方风神录》,
西行寺 幽幽子,幽灵,粉色,长直,粉色,从容冷静,难以捉摸,成熟,黑玛丽珍鞋,《东方妖妖梦》,《东方神明庙》,
爱丽丝 玛格特罗依德,魔法使,黄色,短直,褐色,执着,胜负心强,少女,棕色中靴,《东方妖妖梦》,《东方永夜抄》,
东风谷 早苗,人类,绿色,长直,绿色,天然,老实,少女,棕乐福鞋,《东方妖妖梦》,《东方星莲船》,
铃仙 优昙华院 因幡,妖兽,浅紫色,长直,红色,胆小,悠闲,少女,棕色皮鞋,《东方永夜抄》,《东方绀珠传》,
八云 紫,妖怪,黄色,长卷,黄色/紫色,不可信任,难以捉摸,成熟,白褶袜,《东方妖妖梦》,《东方永夜抄》,
红 美玲,妖怪,浅红色,长直,蓝色,慵懒,认真,少女,船鞋,《东方红魔乡》,《东方非想天则》,
